DO(ppm),pH,Temperature(*C),TDS,Health
3.9,8,28,65,0
3.9,8.3,15,98,0
3.9,7,30,247,0
4,8.5,28,66,0
3.7,7.5,40,228,0
3.9,7.5,32,238,0
3.8,7.5,31,215,0
3.3,6.5,28,51,0
3.6,8.4,44,233,0
3.9,8.7,21,60,0
2.5,5.2,26,76,0
3.6,8.6,24,219,0
3.3,5.4,32,233,0
4,7.4,20,218,0
4.4,12.3,31,83,0
4.8,10.4,32,69,0
3.8,7.6,28,65,0
5.8,12.5,32,244,0
3.7,6.9,17,99,0
4,8,32,67,0
3.9,8.1,32,259,0
3.5,7.3,16,217,0
3.9,6.8,23,273,0
4,7.7,41,89,0
3.6,7,26,292,0
3.7,7.3,32,255,0
3.1,5.7,31,94,0
3.1,5.3,26,74,0
5.6,12,32,95,0
4,6.8,36,69,0
3.8,7,39,299,0
3.8,8.1,32,90,0
3.8,7.6,27,256,0
3.5,7,30,245,0
3.5,8,41,95,0
5.2,8.6,32,209,0
4,7.4,22,56,0
4,7.3,26,75,0
3.7,7.8,27,237,0
3.6,7.9,27,245,0
4.6,8.7,27,98,0
3.9,7.3,29,51,0
3.6,8.5,28,296,0
3.7,6.9,28,54,0
3.6,7.9,27,240,0
3.9,8.6,28,257,0
3.5,6.9,28,282,0
3.9,8.6,32,99,0
3.8,8,31,53,0
2.5,5.6,27,66,0
5.8,12.7,29,55,0
4,8.6,17,279,0
3.8,8,28,275,0
3.8,7.9,16,93,0
4,8.4,28,244,0
3.7,6.8,32,215,0
3.8,7.4,38,273,0
3.5,7.9,31,77,0
3.7,8.4,31,59,0
5.3,13.4,31,89,0
3.8,8.6,27,86,0
3.8,7.9,29,299,0
3.9,7.8,18,289,0
3.3,5.3,32,287,0
3.8,7,29,64,0
3.8,8.4,29,232,0
3.1,5.7,27,96,0
3.6,8.4,23,214,0
3.8,8.3,17,72,0
5,11.3,29,74,0
3.9,8.7,15,216,0
3.8,7.5,32,215,0
2.8,6.2,30,217,0
3.8,8.1,30,83,0
3.7,7.1,41,80,0
3.1,6.7,32,267,0
3.2,6.3,26,82,0
5.6,7,28,67,0
4,7.4,17,79,0
5.4,9.9,32,78,0
4,6.8,17,77,0
3.9,7.4,23,57,0
3.8,7.4,19,75,0
3.9,8.6,27,226,0
2.9,5.4,28,298,0
3.6,7.7,24,299,0
4,7.3,37,226,0
3.8,7.1,26,290,0
3.5,8.5,27,254,0
3.5,7.3,28,207,0
3.5,7.4,28,254,0
4.6,7.8,29,238,0
3.5,8.3,28,257,0
3.8,7,32,73,0
2.8,6.4,27,84,0
5,11.2,27,69,0
3.8,7.2,41,97,0
3.3,5.2,31,76,0
3.5,8.2,28,282,0
4.3,10.4,26,281,0
3.9,8,32,84,0
3.9,8.7,29,94,0
3.7,7.5,26,90,0
3.9,6.9,18,60,0
2.9,6,26,226,0
4,8.5,18,75,0
3.8,8.3,22,256,0
3.9,7.7,21,226,0
3.2,5.9,26,76,0
3,6.7,29,54,0
5.2,11.7,28,65,0
3.6,7.8,26,230,0
3.4,5.4,29,64,0
3.6,7.3,25,210,0
3.7,7.7,31,80,0
3.6,7.8,31,73,0
3.6,7.4,17,247,0
5.5,11.4,28,83,0
4.9,13.6,26,229,0
3.9,8.7,30,281,0
3.6,7.6,29,208,0
4.6,13.1,30,258,0
3.9,8,21,262,0
4.6,9,30,297,0
3.6,8.4,43,61,0
3.7,7.5,42,50,0
3.9,8.2,31,58,0
2.7,5.3,26,252,0
4.3,8.8,28,237,0
3.8,8.1,22,260,0
3.5,7.6,20,263,0
3.5,7.7,16,77,0
3.5,8.5,19,65,0
3.6,8,30,99,0
3.4,5.8,30,51,0
3.8,7.1,28,54,0
3.9,7.4,26,247,0
6,13.8,27,61,0
5.3,12.1,29,72,0
3.7,7.8,40,63,0
3.5,8.1,28,84,0
3.8,7.2,32,237,0
5,9.6,31,208,0
3.9,8.5,20,66,0
3.6,8.5,27,248,0
5.2,14,30,61,0
3.5,7.5,15,63,0
4,7.9,16,51,0
3.9,8.5,23,81,0
3.8,7,29,55,0
3.8,6.9,19,274,0
4,7.1,33,206,0
3.9,8.3,32,219,0
3.5,7.4,24,210,0
3.9,7.2,32,63,0
3.7,8.3,31,54,0
3.5,8.4,28,272,0
3.6,7.1,29,224,0
4,7.7,19,263,0
4,7.9,32,224,0
4.9,8,28,212,0
2.5,5,31,233,0
4.5,8.6,29,229,0
3.7,8.2,28,269,0
3.8,8,22,218,0
4.7,14,31,82,0
2.6,6.6,32,235,0
4,7.3,29,80,0
3.2,6.7,26,227,0
4.2,13.2,32,245,0
5.9,8.3,30,82,0
5.4,12.1,26,94,0
3.5,7.2,29,211,0
3.9,7.5,33,247,0
3.6,8.4,27,214,0
6,9.5,29,69,0
3.5,8.1,18,207,0
3.5,8.6,28,230,0
5.1,8.1,28,290,0
3.9,7.7,30,73,0
3.2,5.4,30,62,0
3.8,8.5,29,73,0
3.5,7.4,32,59,0
3.2,5.7,28,97,0
3.7,7.8,28,52,0
3.3,5.1,32,207,0
4,8.4,19,87,0
3.7,7.2,44,205,0
3.9,7.6,15,262,0
3.6,6.9,39,281,0
3.6,8.4,30,300,0
3.6,7.4,28,208,0
3.7,7.5,28,264,0
3.9,7.2,29,83,0
2.5,5.4,32,200,0
5.1,10.3,29,225,0
3.6,8.6,15,87,0
4,7.4,32,99,0
3.5,8.5,27,228,0
3.7,8.2,27,245,0
3.9,7.1,25,83,0
3.8,7.3,23,81,0
4,8.3,32,263,0
5.1,13,27,293,0
3.8,7,26,252,0
3.8,7.6,25,217,0
3.9,6.8,25,50,0
4.3,13.8,28,86,0
3.7,8.7,28,211,0
4,7,26,256,0
4.4,11,26,280,0
5.6,12.6,29,275,0
4,7.3,29,97,0
3.5,8.1,31,78,0
3.8,8.5,31,295,0
3.6,7.9,44,81,0
2.5,5.2,29,254,0
3.7,7.8,26,212,0
2.9,5.3,30,51,0
4.3,11.3,29,83,0
3,5,31,65,0
3.5,7.5,27,229,0
3.7,8.3,19,62,0
3.5,7.8,25,292,0
3.6,8,29,261,0
2.7,6.7,32,67,0
2.8,5.1,27,251,0
44,7.5,32,85,0
2.6,5.9,27,63,0
2.8,6.2,32,62,0
3.9,7.9,37,267,0
4,7.4,15,61,0
4.7,8.8,31,71,0
3.5,7.8,26,87,0
2.6,6.3,29,221,0
5.4,13.1,31,265,0
51,10,32,255,0
3.6,7.7,32,77,0
4,7.7,27,289,0
4.4,10.5,28,281,0
5.2,10.8,26,50,0
3.8,7,26,76,0
3.6,8.6,32,72,0
3.4,5.4,29,223,0
5.2,12.6,31,66,0
2.6,5.2,32,274,0
3.7,7.9,26,60,0
3.5,6.8,27,298,0
3.9,7,28,244,0
3.6,7.6,30,280,0
3.6,7.1,18,211,0
4,8.6,31,50,0
3.7,8.4,25,62,0
47,7.5,27,297,0
5.6,9.1,27,79,0
3.6,7.3,40,88,0
3.6,8.1,23,62,0
4,7.9,30,283,0
3.8,8,31,66,0
5.3,7.9,28,85,0
2.6,5.4,31,226,0
3.9,7,32,256,0
4.7,9.1,28,295,0
5.4,12.2,26,208,0
3.8,8.1,29,246,0
3.7,8.3,19,210,0
3.5,6.8,39,92,0
5.8,13.9,30,243,0
3.7,7.3,44,54,0
3.7,7.1,21,271,0
3.8,8.1,26,284,0
3.9,6.9,30,57,0
3.5,7.6,16,283,0
3.5,7.5,27,272,0
3.5,7.6,29,89,0
3.5,8.4,27,70,0
4.9,10.9,27,232,0
3.5,7.2,31,259,0
5.7,11.5,27,245,0
3.4,5.7,29,237,0
4,8.3,30,89,0
3.6,7,30,241,0
3.6,6.9,29,221,0
3.1,6.2,27,223,0
3.8,8.7,15,232,0
3.5,7.8,21,77,0
2.9,6,32,90,0
3.5,7.9,30,254,0
3.6,7.6,32,77,0
4,7.9,28,98,0
3.1,6.2,32,209,0
3.8,8.4,29,296,0
5,12.6,31,84,0
4.4,9.2,26,270,0
4.5,8.5,26,241,0
3.6,7.8,15,250,0
5.4,11,27,99,0
3.6,8.3,29,222,0
3.8,8.1,24,92,0
3.9,7,28,82,0
3.7,7.4,19,78,0
3.6,7,29,84,0
4.3,13.7,32,58,0
3.9,7.2,20,51,0
5.1,8.5,27,255,0
3.9,8.6,34,254,0
5.6,11.2,26,70,0
4.5,10.8,28,262,0
2.8,6.7,30,247,0
3.5,8,26,276,0
3.8,7.2,30,82,0
2.9,6.4,27,70,0
3,6.2,30,207,0
3.6,7.4,16,280,0
3.5,8.6,29,56,0
3.7,7.5,26,237,0
4,7.5,39,205,0
2.6,5,32,99,0
3.6,7.1,20,75,0
3.5,7.1,27,290,0
3.9,7.2,26,78,0
5.3,9.3,26,283,0
3.6,7.8,32,91,0
3.5,7.6,25,299,0
3.5,7.1,30,218,0
4,6.9,28,93,0
4,7.3,31,253,0
3.7,6.8,31,212,0
3.6,8.6,20,287,0
3.8,7.5,23,246,0
3.7,7.9,27,89,0
3.5,7.7,29,238,0
5.1,11.3,29,214,0
4,8.7,25,54,0
3.5,7.4,27,83,0
4,8.4,32,69,0
4,7.7,27,70,0
3.9,8.7,17,98,0
4,6.9,24,51,0
4,8.3,30,98,0
3,6,27,215,0
3.9,8.4,21,270,0
3.6,7.9,35,257,0
3.8,8.7,28,85,0
4,6.9,35,82,0
4.5,13.2,30,53,0
3.3,6.4,28,246,0
3.2,5.3,29,202,0
4,7.4,19,96,0
5.7,11.5,27,61,0
3.7,8.1,34,246,0
2.9,5,32,293,0
3.7,8,26,87,0
3.7,6.8,31,74,0
3.9,8,31,57,0
3.5,7.2,29,93,0
5.1,12.7,26,73,0
3.9,7.7,24,243,0
3.7,7.4,40,222,0
3.9,6.9,15,76,0
3.6,7.6,29,97,0
3.9,8.2,27,94,0
3.9,7.4,39,83,0
3.7,8,28,63,0
3.9,7.2,27,215,0
3.9,7,39,295,0
4,8.1,35,280,0
3.9,8.4,29,72,0
5.9,11.3,27,53,0
3.5,7.2,32,66,0
5.2,10.6,31,81,0
3.6,7.5,20,293,0
5.8,9.6,32,293,0
3.6,7,35,250,0
3.2,5.4,32,53,0
3.8,7.7,16,272,0
3.7,8.5,38,91,0
3.8,8.7,27,244,0
3.7,7.4,15,295,0
3.9,7.1,26,227,0
2.6,6.1,28,79,0
5.6,9.8,30,213,0
3.6,7.8,30,89,0
2.8,6.6,26,50,0
3.6,8.7,26,208,0
3.5,8.5,32,90,0
3.5,8.5,31,265,0
3,6,32,298,0
3.5,7.3,31,75,0
4,7,19,95,0
4,7.7,15,54,0
3.7,7.2,28,99,0
3.7,6.9,31,58,0
3.8,7.5,23,50,0
5.4,9.5,31,63,0
2.9,5.6,30,221,0
3.9,8.4,28,225,0
3.7,6.9,30,249,0
3.7,7.4,29,58,0
3.6,8.2,28,264,0
3.8,7.9,30,52,0
3.4,6.7,29,58,0
4,8.5,17,84,0
4.5,7.6,27,232,0
3.9,8.2,30,277,0
3.6,8.5,26,261,0
4,8,39,234,0
4,8.6,23,248,0
3.6,7.3,27,235,0
4,7.6,25,298,0
3.2,5.5,28,272,0
3.6,7.6,27,233,0
3.5,6.8,30,227,0
3.1,6.5,28,51,0
3,5.2,29,226,0
3.7,6.8,33,76,0
3.7,8.3,29,261,0
3.9,7.8,18,58,0
3.6,8.6,28,215,0
3.8,7.4,41,294,0
4.3,8.1,26,92,0
4,7.6,23,240,0
3.6,8.4,30,276,0
3.3,6.6,28,60,0
4.4,12.3,27,208,0
3.4,6.4,26,84,0
3.8,8,24,239,0
3.2,5.6,26,223,0
5,12.2,27,88,0
3.1,5.4,26,295,0
3.8,7.8,26,84,0
3.8,7.7,15,230,0
4,7.4,26,285,0
3.4,6.5,32,299,0
3.2,6.6,27,261,0
4.3,11.7,30,97,0
3.7,7.2,24,238,0
3.8,7.5,31,84,0
3.7,7.9,32,63,0
3.1,6.1,26,70,0
4.5,10.7,29,79,0
3.6,7.5,26,69,0
3.8,6.9,27,258,0
3.5,7.8,41,72,0
3.6,7.7,16,298,0
5.7,10.7,28,267,0
3.7,7.2,31,85,0
3.4,5.4,30,86,0
3.8,8.3,28,247,0
4,8.2,31,234,0
3.7,8.3,22,294,0
2.9,5.3,30,221,0
3.7,7.1,29,96,0
3.8,7.8,30,275,0
3.2,5.3,30,56,0
3.8,7.8,33,64,0
3.8,7.1,20,97,0
4,7.5,18,267,0
3.6,8.3,28,216,0
2.7,6.1,27,218,0
3.6,8.5,22,95,0
3.9,7.6,26,226,0
3.5,8.2,24,88,0
3.7,8.5,29,248,0
3.8,7.2,42,68,0
3.6,8,26,99,0
3.9,8.6,27,294,0
5.5,12.7,28,238,0
6,7.6,29,73,0
4,7.5,24,229,0
3.6,8.3,24,80,0
3.9,6.8,29,53,0
3.6,6.9,23,274,0
2.7,5.5,32,281,0
3.6,7.9,34,64,0
3.5,7.7,26,77,0
3.5,7.3,28,274,0
2.5,5,26,294,0
5.6,7.9,26,55,0
3.6,7.4,27,70,0
3.6,8.4,28,231,0
3.2,5.7,31,59,0
5.3,12.3,32,54,0
3,6.3,29,100,0
2.9,6,32,228,0
3.5,7.2,30,51,0
3,5.7,30,267,0
3.9,7.8,26,224,0
3.5,8.7,28,50,0
3.9,6.9,28,83,0
3.7,8.2,28,229,0
2.7,6.1,31,80,0
3.8,8.1,30,209,0
3.8,8.5,16,294,0
3.5,7.5,30,283,0
3.6,8.4,32,87,0
4,8.2,31,53,0
3.4,5.1,32,92,0
3.8,8,22,80,0
3.9,6.8,44,287,0
3.9,7.7,30,300,0
4,7.6,27,276,0
3.9,7.9,19,230,0
5,7,26,100,0
3.6,8.1,29,228,0
5.1,12.8,29,79,0
5.4,7.1,30,284,0
3.8,8,27,213,0
4,8.7,27,297,0
3.5,6.8,31,81,0
4.4,7.8,32,203,0
4.4,10.2,30,91,0
4,7.7,31,254,0
4,8.1,31,244,0
3.8,7.5,36,272,0
3.6,7.8,32,97,0
3.8,8.3,29,95,0
6,7.5,27,74,0
3.9,8.2,24,85,0
3.6,7.7,32,200,0
4,7.1,27,299,0
3.8,8.5,40,285,0
5.2,7.9,31,69,0
3.6,7.3,28,238,0
5.4,7.6,31,231,0
4,8.6,29,280,0
3.6,8.6,20,238,0
3.5,6.8,44,289,0
3.4,5.5,30,236,0
3.5,7.9,38,80,0
4.6,10.6,27,224,0
2.9,6.6,32,297,0
3.6,7.6,30,252,0
3.9,6.9,38,293,0
2.9,6.6,29,287,0
4.3,12.6,27,70,0
3.3,5,32,55,0
5.2,10.1,27,204,0
3.7,7.9,24,275,0
3.8,8.7,15,53,0
2.5,6.2,29,85,0
2.9,6.4,27,228,0
4.4,7.5,31,281,0
3.9,7,30,230,0
3.8,7.3,43,80,0
3.7,7.8,32,259,0
4.2,13.7,27,232,0
4,7.4,26,98,0
3.7,6.8,30,72,0
5.6,7.8,28,61,0
5,8.6,27,262,0
4,7.9,31,205,0
2.5,6.5,29,54,0
3.5,7.6,42,95,0
2.9,5.8,30,58,0
4.8,9.1,29,86,0
3.9,7.3,31,62,0
4,8.7,44,89,0
5.3,12.7,26,242,0
5.2,7,32,282,0
3.6,8.3,19,91,0
3.5,7.7,27,234,0
4.5,9.3,29,249,0
3.5,8,29,241,0
2.6,6.3,28,70,0
3.4,6.1,28,96,0
4.7,12.3,32,251,0
3.5,8.6,32,51,0
3.5,7.8,30,290,0
3.5,8.7,31,228,0
3.8,7.8,30,67,0
3.5,8.3,34,62,0
3.2,6.2,28,94,0
5.4,13.8,29,96,0
3.6,8.7,36,286,0
3.5,6.9,18,60,0
3.8,8.6,31,63,0
3.6,7.1,27,253,0
3,5.1,30,100,0
6,12.1,27,53,0
3.9,6.8,27,79,0
3.8,7.4,22,209,0
4,6.9,30,229,0
3.5,8.6,25,231,0
4,6.9,27,247,0
3.9,7.5,29,255,0
5.3,8.3,26,95,0
3.7,8.7,21,273,0
3.7,6.8,30,84,0
3.8,8.6,27,83,0
3.8,7.1,26,265,0
3.9,7,18,61,0
4,8.3,32,247,0
3.5,7,43,300,0
3.7,8.3,30,61,0
3.6,7.7,32,285,0
3.5,7.2,27,59,0
3.6,8.5,27,295,0
3.1,5.4,30,75,0
3,5.6,27,94,0
4.4,9.7,31,66,0
3.5,7.6,19,296,0
3.9,7.7,27,51,0
3.2,5.1,27,73,0
3.6,7.1,29,265,0
3.1,5.2,32,281,0
3.5,7.7,24,100,0
3.7,8.4,26,259,0
3.8,6.8,43,292,0
3.7,7.7,31,242,0
3.5,7.7,15,85,0
3.9,6.9,28,51,0
3.7,8.1,30,61,0
3.5,8.4,27,238,0
3.6,7.4,23,62,0
4,8.5,26,93,0
3.9,8.6,34,245,0
3.7,8.6,28,77,0
3.7,6.8,32,72,0
3.9,6.8,27,232,0
5.9,7.3,29,267,0
4,7.9,19,96,0
52,9.7,27,88,0
4.3,8.7,26,245,0
6,9.3,28,55,0
4,8.1,15,57,0
3.8,7.6,32,95,0
3.9,8.6,20,268,0
3.8,7.4,45,273,0
5.9,8.4,31,208,0
4.6,7,30,243,0
3.6,7.2,26,52,0
3.7,8.2,24,242,0
5.8,8.8,29,204,0
3.4,5.1,29,254,0
4,6.8,15,221,0
3.9,7.5,36,82,0
3.7,7.4,28,231,0
3.9,8.1,33,266,0
3.5,8.4,28,100,0
3.9,8.6,28,280,0
4,8,17,244,0
2.5,5.4,32,265,0
2.7,5.6,26,228,0
5.6,8.5,29,287,0
4,8.7,28,81,0
5.1,10.8,27,298,0
2.6,5.9,30,85,0
3.6,8.6,16,90,0
5.6,11.8,29,64,0
3.8,8.2,32,89,0
3.7,8.3,31,99,0
3.6,8.2,21,295,0
3.7,7.5,23,73,0
4.4,7.8,26,277,0
4,7.1,29,61,0
3.5,8.7,33,252,0
3.9,8,30,89,0
3.6,7,31,86,0
3.7,8.7,20,277,0
4,8.1,38,266,0
4,6.9,41,51,0
3.5,8.1,31,76,0
3.1,5.4,31,72,0
3.7,7.2,26,277,0
6,11.7,31,82,0
4,7.7,30,66,0
3.6,8.7,16,68,0
3.1,6.6,30,59,0
4,7.3,30,259,0
4,7.3,32,223,0
3.5,8.3,32,62,0
5.2,11.2,31,233,0
3.7,8.7,30,259,0
3.8,6.9,26,74,0
3.7,8.5,20,260,0
3.6,8.5,37,276,0
3.5,8.4,16,69,0
3.8,7.2,27,223,0
3.7,8.6,28,80,0
3.8,8.6,27,202,0
3.6,7.3,29,276,0
5.2,7.7,27,53,0
4,7.7,32,72,0
3.7,8.7,19,211,0
3.8,8.4,27,72,0
3.7,7.6,35,224,0
5.4,11.9,30,248,0
3.8,8.7,31,92,0
3.5,7.3,28,54,0
4.7,9.1,29,206,0
3.9,7.6,26,63,0
3.6,7.4,24,253,0
4,7.6,31,96,0
4,7.7,29,289,0
2.7,5.1,32,262,0
3.5,8.7,29,94,0
3.5,7.2,25,271,0
4.8,12.8,30,268,0
3.8,8.7,29,52,0
3.8,7.3,27,88,0
5,7.6,32,72,0
3.6,8.6,44,64,0
3.7,7.3,27,232,0
3.7,7.4,18,240,0
3.5,7.8,27,245,0
3.5,8.4,15,258,0
4,7.5,26,98,0
3.7,8.7,24,66,0
2.9,5,30,206,0
3.5,8.7,22,227,0
3.9,8.3,30,93,0
3.7,8.2,31,83,0
3.8,7.1,17,57,0
3.5,6.8,26,55,0
4,6.8,26,84,0
4,7.8,17,98,0
3.9,7.1,27,100,0
3.5,7.3,15,80,0
3.5,8.5,40,53,0
3,6,30,87,0
4.5,11.7,29,222,0
3.6,8.4,25,85,0
4,8.1,29,240,0
5.7,12.7,30,214,0
3.6,8.2,32,53,0
3.2,5.8,26,89,0
3.7,7.1,32,77,0
3.8,7.5,26,236,0
3.5,8.3,20,293,0
3.6,7,44,217,0
5.8,12.5,26,243,0
4,8.1,24,50,0
3,5.4,32,206,0
4.8,11.3,29,96,0
4,7.3,26,297,0
5.1,7.1,26,80,0
4.8,7.1,32,99,0
2.7,6,26,69,0
2.7,5.4,26,61,0
3.6,7.5,31,235,0
3.4,5.9,31,81,0
6,9.8,29,60,0
3.6,6.8,30,52,0
3.5,7.5,31,251,0
3.9,8.1,29,278,0
5.4,13.6,28,253,0
3.6,8.6,30,245,0
3.7,7.4,29,85,0
2.6,6,29,52,0
3.7,7.4,18,241,0
3.8,7.3,44,81,0
3.5,6.9,32,282,0
3.6,7.6,36,213,0
2.5,6.7,26,100,0
4,7.9,16,61,0
3.9,8.2,23,93,0
3.5,8.5,27,281,0
4.7,12.6,27,294,0
3.9,8.1,30,67,0
3.9,7.8,38,231,0
2.8,6,26,242,0
3.3,5.2,26,91,0
4.6,10.9,26,69,0
3.8,6.8,25,233,0
3.5,8,27,282,0
2.5,6.2,31,99,0
3.9,8,19,79,0
2.5,5.3,29,254,0
3.7,8.7,26,224,0
3.9,8,28,259,0
3.8,7.8,28,209,0
4.4,7.6,27,65,0
3.8,7,16,69,0
4.4,11.1,27,221,0
4.3,10.7,27,91,0
3.9,8,32,50,0
3.7,7.1,28,89,0
2.7,5.8,26,208,0
3.9,7.1,21,225,0
3.5,7.3,18,67,0
3.5,7.4,27,209,0
3.7,8.1,44,82,0
3.9,8.2,30,227,0
3.2,5.8,32,277,0
3.5,7.5,18,64,0
3.9,7.9,32,68,0
3.5,8.4,23,70,0
3.6,7.6,27,90,0
3.4,6.3,27,220,0
3.7,8.7,26,281,0
3.3,6.4,28,57,0
3.2,6,27,77,0
2.8,6.4,30,253,0
4.4,13.6,32,72,0
3.7,7.6,32,244,0
4,7.7,26,291,0
3.5,6.9,30,203,0
4,6.8,32,67,0
2.9,6.6,31,50,0
2.7,6.6,29,55,0
3.9,7.2,29,232,0
3.2,6.3,30,253,0
4.8,8.4,31,86,0
2.5,5.2,29,79,0
3.6,8,29,95,0
3.7,8.4,27,93,0
5.5,12.4,32,269,0
3.9,7.6,27,71,0
3.6,7.9,36,289,0
3.7,7.7,31,98,0
3.7,6.8,27,51,0
2.7,6.7,26,95,0
2.9,5.6,26,50,0
3.6,7.2,32,97,0
3.5,7.5,21,74,0
3.6,8.6,26,89,0
4.8,13,30,246,0
3.9,8,28,235,0
3.5,7.4,45,203,0
4,7,20,220,0
4,8.2,31,289,0
3.7,8.4,41,95,0
3.6,7,26,92,0
3.9,8.4,27,285,0
4,8.4,41,81,0
3.5,6.9,30,286,0
3.9,8.4,30,240,0
3.7,8.2,30,54,0
4,8.6,23,89,0
5,13.5,27,230,0
4,7.8,37,62,0
2.7,5.9,27,91,0
3.5,8.2,28,295,0
3.6,6.8,32,239,0
3.6,8.2,27,251,0
3.6,8.3,30,282,0
3.6,8.5,30,79,0
3.5,7.4,31,233,0
3.6,6.9,20,91,0
4,8.6,31,56,0
2.5,5.2,32,231,0
3.7,6.8,23,98,0
4.6,9.7,29,98,0
2.7,5.4,27,265,0
3.8,7.3,21,276,0
4,7.1,26,98,0
3.7,7.9,29,88,0
3.9,6.9,29,267,0
4,8.1,24,79,0
4,8.6,30,54,0
3.8,8.5,28,68,0
3.6,7.1,17,272,0
4.3,9.9,32,91,0
5.8,11.4,27,295,0
4,7.9,25,88,0
3.7,7.6,30,231,0
5.1,11,26,289,0
3.7,8.5,30,63,0
3.5,7.3,32,62,0
3.8,8.7,27,273,0
4.5,7.6,28,83,0
3.7,7.1,26,270,0
3.9,8.4,26,232,0
3.8,8,28,294,0
3.8,7.1,41,68,0
3.6,7.7,18,76,0
3.9,8.6,39,203,0
3.9,8,28,59,0
3.5,7.7,26,79,0
2.6,5.9,28,91,0
3.3,6.7,26,280,0
4.3,12,30,200,0
3.8,7.8,18,70,0
3.5,6.9,21,98,0
3.7,8.3,32,222,0
4.9,8.3,26,251,0
5.1,14,30,225,0
3.5,7.9,16,80,0
4.7,11.2,29,77,0
5.7,12.2,32,66,0
5.5,8.8,28,70,0
2.8,5.1,30,73,0
3.9,7.2,28,82,0
4.4,8.7,31,79,0
5,7.2,27,51,0
3.7,6.9,36,232,0
3.9,6.9,29,267,0
4,8.4,28,259,0
3.9,7.2,39,206,0
3.1,6.5,26,73,0
4.3,11.5,32,284,0
3.8,8.7,32,234,0
3.7,8.7,21,255,0
3.5,8.2,28,64,0
3.8,8.5,28,296,0
3.8,7.9,29,99,0
2.7,5.9,27,208,0
2.8,5.7,29,84,0
3.7,7.2,32,266,0
4,7.9,26,264,0
2.6,5.2,32,79,0
3.9,7.6,30,265,0
3.8,8.2,30,70,0
3.3,5,27,256,0
3.7,8.7,27,75,0
3.5,8.4,29,50,0
3.6,7.6,31,283,0
3.6,7.2,27,222,0
3.9,7.4,31,206,0
2.5,5.5,26,231,0
3.9,7.3,30,287,0
3.7,6.8,28,289,0
4.2,12.1,29,240,0
3.5,8.5,29,73,0
2.6,5.1,29,284,0
3.8,7.8,27,51,0
5.8,10.4,28,75,0
2.7,5.1,28,62,0
3.8,7.4,28,236,0
4,7.4,15,59,0
2.7,6.5,30,64,0
2.7,6.5,29,213,0
4,6.8,18,276,0
4,7.3,29,247,0
3.4,5.3,29,72,0
2.7,5.9,28,200,0
3.5,7,24,74,0
3.6,6.9,29,279,0
3.9,7.7,41,270,0
3.5,8,27,69,0
4,8.1,31,70,0
3.5,7.8,15,59,0
3.7,7.1,30,75,0
3.5,7.1,31,87,0
3.8,7.5,15,71,0
3.7,8,40,233,0
2.8,6.5,31,270,0
2.7,6.6,29,87,0
3.8,8.5,39,236,0
3.4,6.2,27,85,0
2.6,5.8,29,64,0
4.6,10.1,30,234,0
4.3,12.2,27,222,0
3.5,7.8,30,51,0
3.9,8.1,28,74,0
3.5,7.7,32,69,0
3.9,8.4,15,73,0
2.9,5.8,30,244,0
3.6,7,28,283,0
3.6,7.3,27,52,0
4,8.1,29,252,0
2.6,6.4,28,270,0
5.1,7.8,30,279,0
2.8,6.1,30,215,0
3.5,8.1,26,205,0
3.6,8.5,44,296,0
3.9,8.6,21,219,0
3.7,7.2,27,225,0
3.5,7.9,29,247,0
3.9,8.3,29,296,0
3.5,8.1,21,262,0
3.5,8.7,30,207,0
3.8,8.4,30,85,0
4.9,10.2,27,224,0
3.5,7.2,26,235,0
3,5,26,87,0
2.6,6.1,30,69,0
3.9,7.8,20,211,0
2.5,5.6,31,80,0
4,7.8,29,80,0
3.7,7.6,32,277,0
2.8,5.8,28,62,0
3.9,8.3,21,60,0
3.5,7.8,28,52,0
3,6.4,29,65,0
3.8,7.9,29,65,0
4.7,13.3,29,274,0
3.6,7.5,30,60,0
3,5.1,26,66,0
3.5,6.8,32,89,0
5.3,10.5,32,55,0
3.8,7.4,32,76,0
4.8,9.5,32,74,0
2.8,6.3,31,219,0
3.6,8.5,35,277,0
3.9,7.7,29,284,0
3.5,7.6,32,201,0
3.9,8.7,28,59,0
2.9,5.1,27,229,0
3.7,7.8,16,59,0
3.8,8.6,32,269,0
4,8.4,28,202,0
2.6,5.5,31,94,0
2.5,5.5,31,255,0
3.8,7.6,28,60,0
2.6,6.7,30,280,0
3.9,6.9,31,99,0
4,7.7,30,66,0
3.9,7.7,20,235,0
3.7,7.2,17,62,0
2.6,6.1,26,218,0
4.4,11.8,30,55,0
3.5,6.9,20,57,0
3.5,8.5,26,295,0
3.7,8.1,44,61,0
3.8,7.4,30,218,0
3.5,7.4,30,90,0
2.6,5.5,30,66,0
3.9,7.8,30,235,0
4,7.7,40,92,0
3.8,8.3,24,67,0
3.1,5.3,26,270,0
5.8,11.3,31,262,0
3.6,8.5,26,214,0
3.6,7,25,202,0
3.5,7.8,28,68,0
3.5,7.7,31,55,0
4.7,12,28,62,0
3.7,8.7,28,297,0
3.7,6.9,23,72,0
3.6,7.4,26,266,0
3.6,6.8,28,295,0
3.9,7.3,19,271,0
4,8.1,35,91,0
4,8.4,24,97,0
3.6,8.1,30,55,0
5,10.3,30,77,0
3.6,8.3,15,282,0
5.2,8,27,90,0
3.9,8,30,79,0
3.7,7.9,29,278,0
4.7,8.2,29,289,0
